año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,CERRITOS,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,SANTA ROSA DE CABAL,ALTO DE LA CRUZ,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,MORELIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVENCNCTUS,DASYPUS NOVENCNCTUS,1
2008,RISARALDA,PEREIRA,ALTAGRACIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,CANTAMONOS,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,NASUA,NASUA NASUA,1
2008,RISARALDA,LA CELIA,VIA CELIA - BALBOA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,MOCHO ORELHUDO,RHINOPTYNX CLAMATOR,1
2008,RISARALDA,LA CELIA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,IGNOBILIS,TURDUS IGNOBILIS,1
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,VITRIOLINA,TANGARA VITRIOLINA,1
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,MIRLA PANTANERA,TURDUS FUSCATER,1
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,TURPIAL,ICTERUS CHRYSATER,1
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,CANARIO SILVESTRE,SICALIS FLAVEOLA,3
2008,RISARALDA,APÍA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,SPIZA,CHLOROPHANES SPIZA,1
2008,RISARALDA,DOSQUEBRADAS,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,COROSITO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,FLAVUS,POTOS FLAVUS (SCHREBER),1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,TUCAN CONFITE,RAMPHASTOS SULPHURATUS,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,PERICO REAL,BROTOGERIS JUGULARIS,1
